learning_rate,exec_time (s),training_loss
0.0001,43.16,0.7978
0.0001,38.52,0.5058
0.0001,38.55,0.2141
0.0001,38.56,0.1696
0.0001,38.39,0.1339
0.0001,38.44,0.1215
0.0001,38.68,0.1089
0.0001,38.3,0.0926
0.0001,38.14,0.0913
0.0001,38.08,0.0837
0.0001,38.34,0.0703
0.0001,38.02,0.0663
0.0001,38.21,0.0585
0.0001,38.33,0.0549
0.0001,38.12,0.0525
0.0001,38.31,0.0483
0.0001,38.4,0.0465
0.0001,38.42,0.0454
0.0001,38.27,0.0421
0.0001,38.73,0.0404
0.0001,38.03,0.039
0.0001,38.22,0.0387
0.0001,37.95,0.0368
0.0001,38.22,0.0352
0.0001,38.91,0.0335
0.0001,38.67,0.0324
0.0001,38.21,0.0316
0.0001,38.2,0.0302
0.0001,38.13,0.0291
0.0001,38.19,0.0313
0.0001,38.15,0.0303
0.0001,38.16,0.0299
0.0001,38.11,0.0273
0.0001,38.21,0.0265
0.0001,38.16,0.0254
0.0001,38.62,0.0244
0.0001,37.99,0.0234
